month,Backend Engineer,Data Scientist,Frontend Engineer,Generalist
2025-01,0,0,0,122
2025-02,49,34,0,181
2025-03,3,33,23,159
2025-04,7,26,11,164
2025-05,0,5,0,4
2025-06,0,0,0,77
2025-07,0,15,0,55
2025-08,0,0,0,124
2025-09,0,0,0,150
2025-10,0,0,0,178
2025-11,0,0,0,23
2025-12,0,0,0,4
2026-01,0,0,0,15
